stereo left,stereo right,selected img,label name,label id,roi params
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00000_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00000_right.jpg,right,backwards,5,"[420,266,85,85]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00001_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00001_right.jpg,left,backwards,5,"[268,251,89,87]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00002_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00002_right.jpg,right,backwards,5,"[388,292,105,101]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00003_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00003_right.jpg,left,backwards,5,"[208,334,100,106]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00004_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00004_right.jpg,right,backwards,5,"[371,376,126,105]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00005_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00005_right.jpg,right,backwards,5,"[373,291,102,111]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00006_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00006_right.jpg,left,backwards,5,"[191,106,111,108]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00007_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00007_right.jpg,right,backwards,5,"[300,126,131,119]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00008_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00008_right.jpg,left,backwards,5,"[126,179,110,110]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00009_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00009_right.jpg,right,backwards,5,"[331,153,106,89]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00010_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00010_right.jpg,left,backwards,5,"[195,101,81,82]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00011_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00011_right.jpg,right,backwards,5,"[363,107,88,79]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00012_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00012_right.jpg,left,backwards,5,"[224,230,84,83]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00013_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00013_right.jpg,right,backwards,5,"[346,365,85,82]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00014_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00014_right.jpg,left,backwards,5,"[216,393,72,77]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00015_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00015_right.jpg,right,backwards,5,"[351,343,80,75]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00016_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00016_right.jpg,left,backwards,5,"[221,335,73,77]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00017_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00017_right.jpg,right,backwards,5,"[357,372,80,89]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00018_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00018_right.jpg,left,backwards,5,"[216,321,73,81]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00019_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00019_right.jpg,right,backwards,5,"[355,271,83,83]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00020_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00020_right.jpg,left,backwards,5,"[181,248,72,79]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00021_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00021_right.jpg,right,backwards,5,"[329,182,91,75]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00022_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00022_right.jpg,left,backwards,5,"[137,83,105,83]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00023_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00023_right.jpg,right,backwards,5,"[297,85,140,112]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00024_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00024_right.jpg,left,backwards,5,"[52,199,151,139]"
/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00025_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/biograd-B/stereo-imgs/biograd-B_00025_right.jpg,right,backwards,5,"[321,360,151,121]"
