imageFileName,star_comm,end_comm,up,down,photo,backwards,carry,boat,here,mosaic,num_delimiter,one,two,three,four,five,Class
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_0.jpg',[],[],[],[],[],[],[],[],[],[],"[155,236,54,65]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1.jpg',[],[],[],[],[],[],[],[],[],[],"[230,230,61,79]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_10.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[136,209,86,90]",five
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_100.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[153,246,67,85]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1000.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1001.jpg',[],[],[],[],[],[],[],[],[],[],[],"[234,223,78,112]",[],[],[],[],one
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1002.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[135,209,74,108]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1003.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[214,209,82,113]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1004.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[108,209,82,107]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1005.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[212,197,86,133]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1006.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[103,194,89,132]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1007.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[219,194,83,136]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1008.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[115,203,92,142]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1009.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[221,203,92,134]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_101.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[223,229,74,106]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1010.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[125,188,90,144]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1011.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1012.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1013.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1014.jpg',[],[],[],[],[],[],[],[],[],[],"[121,238,91,105]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1015.jpg',[],[],[],[],[],[],[],[],[],[],"[235,231,87,102]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1016.jpg',[],[],[],[],[],[],[],[],[],[],"[135,232,76,108]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1017.jpg',[],[],[],[],[],[],[],[],[],[],"[221,229,88,107]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1018.jpg',[],[],[],[],[],[],[],[],[],[],"[126,222,79,107]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1019.jpg',[],[],[],[],[],[],[],[],[],[],"[230,214,84,105]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_102.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[149,237,71,107]",[],[],[],two
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1020.jpg',[],[],[],[],[],[],[],[],[],[],"[137,208,83,101]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1021.jpg',[],[],[],[],[],[],[],[],[],[],"[243,209,82,109]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1022.jpg',[],[],[],[],[],[],[],[],[],[],"[154,213,80,111]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1023.jpg',[],[],[],[],[],[],[],[],[],[],"[250,221,84,112]",[],[],[],[],[],num_delimiter
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1024.jpg',[],"[180,228,87,133]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],end_comm
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1025.jpg',[],"[355,226,83,134]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],end_comm
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1026.jpg',[],"[245,222,93,142]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],end_comm
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1027.jpg',[],"[353,218,90,151]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],end_comm
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1028.jpg',[],"[240,210,93,145]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],end_comm
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_1029.jpg',[],"[341,204,89,131]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],end_comm
'/home/arturokkboss33/gestures/biograd_clear-calm/all_imgs/biograd1_103.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[228,238,62,98]",[],[],[],two
