stereo left,stereo right,selected img,label name,label id,roi params
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00051_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00051_right.jpg,left,carry,6,"[399,208,78,114]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00052_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00052_right.jpg,right,carry,6,"[293,211,94,105]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00053_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00053_right.jpg,left,carry,6,"[389,217,98,101]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00054_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00054_right.jpg,right,carry,6,"[293,223,96,113]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00055_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00055_right.jpg,left,carry,6,"[395,219,92,114]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00056_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00056_right.jpg,right,carry,6,"[297,231,92,118]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00057_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00057_right.jpg,left,carry,6,"[396,248,93,116]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00058_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00058_right.jpg,right,carry,6,"[282,270,115,107]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00059_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00059_right.jpg,right,two,12,"[232,183,91,117]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00060_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00060_right.jpg,left,two,12,"[342,183,86,106]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00061_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00061_right.jpg,right,two,12,"[246,188,65,104]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00062_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00062_right.jpg,left,two,12,"[356,190,74,98]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00063_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00063_right.jpg,right,two,12,"[253,183,62,97]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00064_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00064_right.jpg,right,here,8,"[234,252,84,90]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00065_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00065_right.jpg,left,here,8,"[352,293,81,97]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00066_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00066_right.jpg,right,here,8,"[247,282,62,101]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00067_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00067_right.jpg,left,here,8,"[352,281,76,102]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00068_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00068_right.jpg,right,here,8,"[234,280,65,98]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00069_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00069_right.jpg,left,here,8,"[340,272,76,98]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00070_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00070_right.jpg,right,here,8,"[223,263,72,110]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00071_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00071_right.jpg,left,here,8,"[338,268,68,103]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00072_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00072_right.jpg,right,here,8,"[227,261,68,107]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00073_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00073_right.jpg,left,here,8,"[347,262,75,94]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00074_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00074_right.jpg,right,num_delimiter,10,"[264,153,84,90]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00075_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00075_right.jpg,left,end_comm,1,"[377,140,75,92]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00076_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00076_right.jpg,right,end_comm,1,"[273,133,72,93]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00077_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00077_right.jpg,left,end_comm,1,"[372,125,78,101]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00078_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00078_right.jpg,right,end_comm,1,"[270,130,74,103]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00079_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00079_right.jpg,left,end_comm,1,"[378,154,76,105]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00080_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00080_right.jpg,right,end_comm,1,"[273,164,59,102]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00081_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00081_right.jpg,left,end_comm,1,"[377,170,75,112]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00082_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00082_right.jpg,right,end_comm,1,"[270,164,60,102]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00083_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00083_right.jpg,left,end_comm,1,"[380,170,64,106]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00084_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00084_right.jpg,right,end_comm,1,"[271,176,62,104]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00085_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00085_right.jpg,left,end_comm,1,"[378,170,74,114]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00086_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00086_right.jpg,right,end_comm,1,"[252,170,75,104]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00087_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00087_right.jpg,left,num_delimiter,10,"[371,176,76,105]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00088_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00088_right.jpg,right,start_comm,0,"[248,101,61,87]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00089_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-A/stereo-imgs/brodanski-A_00089_right.jpg,left,start_comm,0,"[327,79,59,86]"
