stereo left,stereo right,selected img,label name,label id,roi params
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00044_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00044_right.jpg,left,three,13,"[286,61,93,145]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00045_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00045_right.jpg,right,three,13,"[99,58,117,157]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00046_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00046_right.jpg,left,three,13,"[279,54,106,164]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00047_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00047_right.jpg,right,three,13,"[94,61,114,151]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00048_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00048_right.jpg,left,three,13,"[277,63,104,157]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00049_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00049_right.jpg,right,three,13,"[97,64,114,153]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00050_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00050_right.jpg,left,three,13,"[265,59,103,154]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00051_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00051_right.jpg,right,three,13,"[100,62,104,148]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00052_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00052_right.jpg,left,three,13,"[276,49,101,169]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00053_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00053_right.jpg,right,three,13,"[106,53,106,155]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00054_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00054_right.jpg,left,three,13,"[285,57,89,154]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00055_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00055_right.jpg,right,three,13,"[108,61,103,143]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00056_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00056_right.jpg,left,three,13,"[277,55,101,150]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00057_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00057_right.jpg,right,three,13,"[111,66,97,139]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00058_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00058_right.jpg,left,three,13,"[280,70,105,153]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00059_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00059_right.jpg,right,three,13,"[107,69,109,156]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00060_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00060_right.jpg,left,three,13,"[282,76,112,144]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00061_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00061_right.jpg,right,three,13,"[112,71,100,142]"
/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00062_left.jpg,/home/arturokkboss33/Databases/underwater_gestures/brodanski-D/stereo-imgs/brodanski-D_00062_right.jpg,left,num_delimiter,10,"[304,88,86,113]"
