imageFileName,start_comm,end_comm,up,down,photo,backwards,carry,boat,here,mosaic,num_delimiter,one,two,three,four,five,Class
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_0.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_100.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1000.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1001.jpg',[],[],[],[],[],[],[],"[143,284,178,110]",[],[],[],[],[],[],[],[],boat
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1004.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1005.jpg',[],[],[],[],[],[],[],"[140,286,178,95]",[],[],[],[],[],[],[],[],boat
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1008.jpg',[],[],[],[],[],[],[],"[313,272,189,106]",[],[],[],[],[],[],[],[],boat
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1009.jpg',[],[],[],[],[],[],[],"[148,274,169,101]",[],[],[],[],[],[],[],[],boat
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_101.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1012.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1013.jpg',[],[],[],[],[],[],[],"[145,274,181,95]",[],[],[],[],[],[],[],[],boat
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1016.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1017.jpg',[],[],[],[],[],[],[],"[135,276,176,93]",[],[],[],[],[],[],[],[],boat
'/home/arturokkboss33/gestures/brodanski_aug_1/mix_filtered/brodanski_a_1020.jpg',[],[],[],[],[],[],[],"[320,286,177,115]",[],[],[],[],[],[],[],[],boat
