imageFileName,start_comm,end_comm,up,down,photo,backwards,carry,boat,here,mosaic,num_delimiter,one,two,three,four,five,Class
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_0.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_1.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_10.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_100.jpg',[],[],[],[],[],[],"[399,208,78,114]",[],[],[],[],[],[],[],[],[],carry
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_101.jpg',[],[],[],[],[],[],"[293,211,94,105]",[],[],[],[],[],[],[],[],[],carry
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_102.jpg',[],[],[],[],[],[],"[389,217,98,101]",[],[],[],[],[],[],[],[],[],carry
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_103.jpg',[],[],[],[],[],[],"[293,223,96,113]",[],[],[],[],[],[],[],[],[],carry
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_104.jpg',[],[],[],[],[],[],"[395,219,92,114]",[],[],[],[],[],[],[],[],[],carry
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_105.jpg',[],[],[],[],[],[],"[297,231,92,118]",[],[],[],[],[],[],[],[],[],carry
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_106.jpg',[],[],[],[],[],[],"[396,248,93,116]",[],[],[],[],[],[],[],[],[],carry
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_107.jpg',[],[],[],[],[],[],"[282,270,115,107]",[],[],[],[],[],[],[],[],[],carry
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_108.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_109.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[232,183,91,117]",[],[],[],two
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_11.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_110.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[342,183,86,106]",[],[],[],two
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_111.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[246,188,65,104]",[],[],[],two
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_112.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[356,190,74,98]",[],[],[],two
'/home/arturokkboss33/gestures/brodanski_may_1/mix/biograd1_113.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[253,183,62,97]",[],[],[],two
