imageFileName,start_comm,end_comm,up,down,photo,backwards,carry,boat,here,mosaic,num_delimiter,one,two,three,four,five,Class
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_0.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_1.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_10.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_100.jpg',[],[],[],[],[],[],"[399,208,78,114]",[],[],[],[],[],[],[],[],[],carry
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_101.jpg',[],[],[],[],[],[],"[293,211,94,105]",[],[],[],[],[],[],[],[],[],carry
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_102.jpg',[],[],[],[],[],[],"[389,217,98,101]",[],[],[],[],[],[],[],[],[],carry
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_103.jpg',[],[],[],[],[],[],"[293,223,96,113]",[],[],[],[],[],[],[],[],[],carry
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_104.jpg',[],[],[],[],[],[],"[395,219,92,114]",[],[],[],[],[],[],[],[],[],carry
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_105.jpg',[],[],[],[],[],[],"[297,231,92,118]",[],[],[],[],[],[],[],[],[],carry
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_106.jpg',[],[],[],[],[],[],"[396,248,93,116]",[],[],[],[],[],[],[],[],[],carry
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_107.jpg',[],[],[],[],[],[],"[282,270,115,107]",[],[],[],[],[],[],[],[],[],carry
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_108.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_109.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[232,183,91,117]",[],[],[],two
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_11.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_110.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[342,183,86,106]",[],[],[],two
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_111.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[246,188,65,104]",[],[],[],two
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_112.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[356,190,74,98]",[],[],[],two
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_113.jpg',[],[],[],[],[],[],[],[],[],[],[],[],"[253,183,62,97]",[],[],[],two
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_114.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_115.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_116.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_117.jpg',[],[],[],[],[],[],[],[],"[234,252,84,90]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_118.jpg',[],[],[],[],[],[],[],[],"[352,293,81,97]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_119.jpg',[],[],[],[],[],[],[],[],"[247,282,62,101]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_12.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_120.jpg',[],[],[],[],[],[],[],[],"[352,281,76,102]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_121.jpg',[],[],[],[],[],[],[],[],"[234,280,65,98]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_122.jpg',[],[],[],[],[],[],[],[],"[340,272,76,98]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_123.jpg',[],[],[],[],[],[],[],[],"[223,263,72,110]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_124.jpg',[],[],[],[],[],[],[],[],"[338,268,68,103]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_125.jpg',[],[],[],[],[],[],[],[],"[227,261,68,107]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_126.jpg',[],[],[],[],[],[],[],[],"[347,262,75,94]",[],[],[],[],[],[],[],here
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_127.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/robotics/Documents/MATLAB/gestures_images/brodanski_may_1/mix_filtered/brodanski_c_128.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
