imageFilename,start_comm,end_comm,up,down,photo,backwards,carry,boat,here,mosaic ,num_delimiter,one,two,three,four,five,Class
'/home/arturokkboss33/gestures/genova/mix/biograd1_0.jpg',[],[],[],[],"[37,84,209,235]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_1.jpg',[],[],[],[],"[277,112,192,213]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_4.jpg',[],[],[],[],"[14,189,226,245]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_5.jpg',[],[],[],[],"[261,225,205,227]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_8.jpg',[],[],[],[],"[1,205,257,262]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_9.jpg',[],[],[],[],"[313,209,242,256]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_12.jpg',[],[],[],[],"[81,138,253,306]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_13.jpg',[],[],[],[],"[373,119,254,303]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_16.jpg',[],[],[],[],"[1,112,231,262]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_17.jpg',[],[],[],[],"[347,103,227,259]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_20.jpg',[],[],[],[],"[94,55,270,294]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_21.jpg',[],[],[],[],"[423,57,218,302]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_24.jpg',[],[],[],[],"[15,89,279,292]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_25.jpg',[],[],[],[],"[393,68,248,308]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_28.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/genova/mix/biograd1_29.jpg',[],[],[],[],"[361,96,280,332]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_32.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/genova/mix/biograd1_33.jpg',[],[],[],[],"[351,68,289,329]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_36.jpg',[],[],[],[],"[61,146,312,319]",[],[],[],[],[],[],[],[],[],[],[],photo
'/home/arturokkboss33/gestures/genova/mix/biograd1_37.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
'/home/arturokkboss33/gestures/genova/mix/biograd1_40.jpg',[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],other
